rels,nods
"[[inhibit,regul,reduc,mediat,transform,induc,neutral,requir,exert,lack,bind,bound,immunoprecipit,bear,increas,util,act,compet,accompani,engag,block,knock,express,normal,modul,render,stimul,produc,releas,exist,transport,activ,facilit,respond,elicit,prolong,augment,influenc,promot,impair,remain,diminish,decreas,upregul],[upregul],null]","[TNF,receptors,IL10,Irritable Bowel Syndrome]"
"[[express,quantit,inhibit,regul,predict,contribut,sensit,restor,vaccin,produc,convert,mediat,locat,compet,decreas,establish,achiev,receiv,,summar,prevent,assess,modul,enhanc,lack,call,propos,suppress,tend,induc,administ,augment,caus,facilit,appear,enabl,account,parallel,affect,neutral,provid,abolish,correspond,differ,exhibit,transfect,negat,abrog,activ,promot,reduc,block,bound,delet,encapsul,hypothes,increas,limit,measur,repres,stimul,overcam,gave,reflect,studi,unmask,upregul,secret,intact,influenc,disrupt,ad,investig,becam,shed,allow,downregul,target,examin,accompani,bind,exert,elimin,revers,improv,resembl,act,attenu,arrang,protect,ration,explor,potenti,vari,prove,discuss,releas,antagon,rais,elicit,respond,carri,ask,bioconjug,calcul,consid,correct,deliv,exist,knock,refer,requir,reward,track,diminish,mimic,doubl,preserv,correl,found,design,see,hereaft,amelior,term,defin,ensur],[augment,suppress,increas,rais,potenti,abrog,inhibit,restor,downregul,block,attenu,transform,enhanc,induc,produc,boost,reduc,promot,decreas,modul,regul,mediat,sustain],null]","[TNF,Tumor Necrosis Factor-alpha,IL10,Irritable Bowel Syndrome]"
"[[enhanc,induc,stimul],[enhanc],null]","[TNF,Thrombin,IL10,Irritable Bowel Syndrome]"
"[[antagon,induc,decreas,downregul,impair,increas,correl,reduc],[increas],null]","[TNF,Adiponectin,IL10,Irritable Bowel Syndrome]"
"[[induc,interact,inhibit,reduc,stimul,synerg,lower,suppress,mimic,peak,caus,increas,releas,attenu,imagin,neutral,prevent,regard,assay,enhanc,mediat],[inhibit,modul],null]","[TNF,LPS with O-antigen,IL10,Irritable Bowel Syndrome]"
"[[regul,suppress,abolish,dedic,mediat,activ,stimul],[decreas],null]","[TNF,chemical elements,IL10,Irritable Bowel Syndrome]"
"[[induc,sensit,inactiv,increas,mediat,belong,decreas,reduc,act,stimul,,synthes,caus,bind,inhibit,confer,regul,measur,produc,elicit,block,correl,bound,examin,migrat,guid,modul],[suppress],null]","[TNF,proteins,IL10,Irritable Bowel Syndrome]"
"[[allow,decreas,increas,activ],[increas],null]","[TNF,vitamin D,IL10,Irritable Bowel Syndrome]"
"[[recogn,induc,stop,stimul,activ,relat,produc,reduc,bind,cultur,direct,associ,protect,suppress,block,increas,trigger,measur,sensit,mediat,potenti],[deliv],null]","[TNF,DNA,IL10,Irritable Bowel Syndrome]"
"[[regul,activ,inhibit,reduc],[modul],null]","[TNF,phosphotransferases (kinases),IL10,Irritable Bowel Syndrome]"